Makeup_Type,Brand,Product_Name,Shade_Name,Skintone,Skintone_Category,Undertone,Images,,,Price
skin tint,colourette,First Base Everyday Skin Tint,Bonbon,fair,light,cool,https://drive.google.com/file/d/1IZ35vxc_mswxLBD1lkzikab1sFujBesM/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Mati,fair,light,neutral,https://drive.google.com/file/d/1sf6qj1tmB4D2JoCOtfBpw12UcVEPEEYM/view?usp=drive_link,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Calatagan,fair,light,warm,https://drive.google.com/file/d/1eNhmvE5EYEEyCPkeX_k6uytstzdqv2FT/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Alona,light,light,warm,https://drive.google.com/file/d/1xnEvNXq6BlwJ8zF4ZmMuco-3G2dGfld5/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Lazi,light,light,cool,https://drive.google.com/file/d/16nhETUBbckvYbcuV6Vjf7BV-8LkhPudD/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Donsol,light,light,neutral,https://drive.google.com/file/d/1gnIyQGUwLgolAfS8J18mow68-48-F5Si/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Siargao,light medium,medium,cool,https://drive.google.com/file/d/1j_H42DeDtT1FYwBmxTSLot-HdsKIrKpN/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,La Union,light medium,medium,neutral,https://drive.google.com/file/d/1yU623UORWtgZmb6DmxAsE6naiVhlGH8v/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Nacpan,medium,medium,cool,https://drive.google.com/file/d/1KUznBvXKJw8W2d0gsnE5HRcT8-WGWlhD/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Puerto,medium,medium,neutral,https://drive.google.com/file/d/1W93d8OBTjek7WfPiZYtFNASF9s0p5Oc0/view?usp=sharing,,,199-599
skin tint,colourette,First Base Everyday Skin Tint,Laiya,medium,medium,warm,https://drive.google.com/file/d/1l96Y6NR8ng6I447UD1_YlNzq3TOTuki-/view?usp=sharing,,,199-599
