Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,,,Price
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Bean,Cool Berry,Shimmer,Cool,,https://drive.google.com/file/d/1DCgRyY_9tLxOL6Zn4gq_YEIcA609nCNv/view?usp=drive_link,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Mochi,Burnt Sienna,Matte,Warm,,https://drive.google.com/file/d/194YWoSXw3ER-d3yG_v88AmeZ8VUES53o/view?usp=drive_link,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Latte,Neutral Mocha,Matte,Neutral,,https://drive.google.com/file/d/1ULLcqZZ7n2vaNOluvXxkaz3gK84WNi3R/view?usp=drive_link,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Snowflake,Soft Golden Glow,Highlighter,Warm,,https://drive.google.com/file/d/16sW-eBrFd0BCIstnsW3yTBkdy7AH5liy/view?usp=sharing,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Cheeky ,Cherry Blossom Flush,Glitter,"Neutral, Cool",,https://drive.google.com/file/d/1kMAKbgeCUGW1clTba6Gw89KOxemFXqR3/view?usp=sharing,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Teddy,Glowing Coral,Glitter,Warm,,https://drive.google.com/file/d/187vR2vj-0X5bPfEZ6gG1GYznKluMpyYv/view?usp=sharing,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Lolly,Fresh Pink Sorbet,Matte,Cool,,https://drive.google.com/file/d/1Yg9ZsKm37WyKXQLCaSk4wP3Y7UGFQkja/view?usp=sharing,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Luv,Lovesick Red,Shimmer,Warm,,https://drive.google.com/file/d/1tCbd4OuLQG7w33Ms5pez_Q4GvCm5QfGq/view?usp=sharing,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Tutu,Bright Bubblegum Pink,Matte,Cool,,https://drive.google.com/file/d/1Uewnc92jpHianlqb-O1Pqgc6UQ5lYjnO/view?usp=sharing,,,,,,,,,508
powder blush,Colourette,Colourbounce Jelly-to-Powder Blush,Pompom ,Juicy Warm Peach,Matte,Warm,,https://drive.google.com/file/d/1LE_q9AxUWhzSeyl6Q6ULxWlIm5aLJ2d9/view?usp=drive_link,,,,,,,,,508
