Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link
lip tint,Colourette,Jelly Kiss Lip Tint,Cider,burnt peach,Jelly Shine,Warm,,https://drive.google.com/file/d/11ZXC0KDLyu1N5UpUgiQbgBHyRrwW47Gp/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Sizzle,soft watermelon,Jelly Shine,Warm,,https://drive.google.com/file/d/1o86RAmB6qCvxxxBkyK3RjK2Uv_-eWWnZ/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Fling,bright strawberry,Jelly Shine,Cool,,https://drive.google.com/file/d/1ojwIls3Np0Bx7iYSspEw__V6YLLvVGbt/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Juju,rosy mlbb,Jelly Shine,"Neutral, Cool",,https://drive.google.com/file/d/1s1bBJz91NLPJxNUYOwc1SxJhj96LdCN_/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Squish,soft peony,Jelly Shine,Cool,,https://drive.google.com/file/d/1s1bBJz91NLPJxNUYOwc1SxJhj96LdCN_/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Zing,lively coral,Jelly Shine,Warm,,https://drive.google.com/file/d/1xhLYHWjX6sBlkEsYWvb8llrxd8bY8i8B/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Melty,rich rose,Jelly Shine,"Cool, Neutral",,https://drive.google.com/file/d/1gYjxzqeyHHX1W5Y3IZelC6NGa1gyfTIH/view?usp=drive_link
lip tint,Colourette,Jelly Kiss Lip Tint,Pebble,toasty tan,Jelly Shine,Warm,,https://drive.google.com/file/d/1h-BH-RShAwq7ZX87zIUK0j4R3bSG5c3s/view?usp=drive_link
Lip oil-serum,Colourette,Colourdrip,Sugar,blush pink,Glossy,"Cool, Neutral",,https://drive.google.com/file/d/1h6TpJQVLBJ_WGHb5FgLsPQPH1PyrRsi-/view?usp=drive_link
Lip oil-serum,Colourette,Colourdrip,Naughty,blackened cherry,Glossy,Cool,,https://drive.google.com/file/d/1a4U01rG9aBVgOFq96ge2joxObpF-lfjv/view?usp=drive_link
Lip oil-serum,Colourette,Colourdrip,Spice,cherry-cola red,Glossy,Warm,,https://drive.google.com/file/d/1UUhGlEkS5RXRLFxKKCvS895BwLPCzqTO/view?usp=drive_link
Lip oil-serum,Colourette,Colourdrip,Bunny,soft rose,Glossy,"Neutral, Cool",,https://drive.google.com/file/d/1W8ROoprWj6pp69smXrJx3c3edfZ_GoM4/view?usp=drive_link
Lip oil-serum,Colourette,Colourdrip,Fudge,chocolate brown,Glossy,Warm,,https://drive.google.com/file/d/19iO_uNuRwBVv5SGz14kKRPvCu_H_36IY/view?usp=drive_link
